id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10159551,Modern house with pool in Colonia de Sant Pere,33963368,Carolina,,Artà,39.730101265792825,3.27783409317042,Entire home/apt,132,7,0,,,53,254
13759671,Can Roig,80636743,Foravila,,Artà,39.73852697164238,3.281815855574828,Entire home/apt,180,1,0,,,193,226
16253251,Cas Pere,76875955,5StarsHome,,Artà,39.73606696360074,3.2821539908003774,Entire home/apt,189,1,0,,,43,194
16671227,ROOM IN AN AMAZING HOUSE,13317939,Lilly,,Artà,39.67859419107086,3.318848974462058,Private room,32,1,1,2017-01-12,0.48,2,232
10795688,Large room with shared bathroom and toilets,55870406,Encarnación,,Artà,39.735543764638216,3.2751143496039226,Private room,45,2,28,2017-01-03,2.52,3,178
10694914,Finca Sos Monjos,5069309,Simone,,Artà,39.695859847999365,3.3372583919841534,Entire home/apt,200,7,0,,,12,277
17401647,Relax and good life in the center of Artá,117598086,Monica,,Artà,39.6913546062844,3.34914074125174,Private room,50,2,0,,,1,179
1219216,"Hotel Can Moragues, Double Room",6630261,Felix,,Artà,39.69642881022738,3.3512320621134197,Private room,135,3,1,2015-05-13,0.04,2,264
556335,Habitación Luna,1968644,Antonia,,Artà,39.692656988268276,3.353233127228023,Private room,50,2,36,2016-09-28,0.64,3,355
722769,CALDES - 0032,3625030,Angela,,Artà,39.73617718199441,3.281767488922111,Entire home/apt,176,7,1,2014-08-03,0.03,752,291
9143749,Schönheit des Nordostens Mallorcas auf der Finca,2835584,Vera,,Artà,39.682462871710044,3.3597674474929753,Private room,37,2,3,2016-10-26,0.46,2,306
10936133,Apartamento en BETLEM.,30661493,Aina,,Artà,39.75353287827423,3.3137947731001884,Entire home/apt,80,5,3,2016-08-15,0.38,1,336
13530908,Can Sanso,76875955,5StarsHome,,Artà,39.73988576317425,3.2867285347040824,Entire home/apt,252,1,0,,,43,231
7166171,Seafront house in Mallorca,20729758,Aina Maria,,Artà,39.733477668632766,3.2597975271276316,Entire home/apt,160,5,1,2015-12-28,0.07,1,287
16079501,Villa en Betlem con piscina a 300 m del mar,8864750,Lucia,,Artà,39.752784933677376,3.321525447029888,Entire home/apt,188,7,0,,,64,153
17105872,Apartamento en Colonia de San Pedro (Mallorca).,114842520,Carmen,,Artà,39.738285282586936,3.2799002113742217,Entire home/apt,57,1,0,,,1,236
15550631,"FINCA EN ARTA, IDEAL PARA FAMILIA CON NIÑOS",54124747,Pep Lluis,,Artà,39.6854566342991,3.3574644406734366,Entire home/apt,215,5,0,,,1,74
16168189,Casa familiar en Mallorca,104589929,Maria Antònia,,Artà,39.69374355037439,3.3549714289195887,Entire home/apt,72,3,0,,,1,363
4422425,Schönes Steinhaus auf großer Finca,10543258,Viola,,Artà,39.680206834485624,3.3338860562231294,Entire home/apt,80,5,12,2016-11-12,0.51,4,205
11447973,vivers 24 - colònia st. pere - artà,60184205,Benet,,Artà,39.736172210618655,3.279140084391269,Entire home/apt,80,6,10,2016-10-28,1.19,1,245
